epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1375.65,1.96344,3.19388,1.45702,0.41656,0.20596,0.13038,0.07197,1.77513,2.40971,1.3837,0.000276351,0.000276351,0.000276351
2,2887.41,1.72963,2.22287,1.35778,0.37673,0.29235,0.21191,0.12577,1.65948,2.10472,1.33257,0.000543048,0.000543048,0.000543048
3,4359.21,1.64023,2.04146,1.3181,0.38205,0.28121,0.2247,0.13501,1.63526,2.02645,1.31286,0.000798749,0.000798749,0.000798749
4,5880.41,1.57481,1.96774,1.28004,0.42067,0.31286,0.25622,0.15843,1.5289,1.91562,1.2653,0.00078352,0.00078352,0.00078352
5,7397.96,1.52858,1.90524,1.26531,0.42164,0.29843,0.25046,0.15788,1.48356,1.89893,1.26051,0.000767026,0.000767026,0.000767026
6,8867.65,1.48256,1.87478,1.24995,0.43972,0.30552,0.25913,0.16497,1.44622,1.85684,1.23299,0.000750533,0.000750533,0.000750533
7,10350,1.46796,1.84074,1.24269,0.44175,0.32519,0.2829,0.17897,1.48982,1.86363,1.24866,0.00073404,0.00073404,0.00073404
8,11848.8,1.4557,1.82753,1.23693,0.43315,0.31896,0.27876,0.17698,1.44474,1.85757,1.24287,0.000717546,0.000717546,0.000717546
9,13340.3,1.42167,1.80044,1.22409,0.45893,0.32227,0.28766,0.18607,1.4236,1.81593,1.23117,0.000701053,0.000701053,0.000701053
10,14828.9,1.40937,1.78197,1.21714,0.44561,0.33907,0.29413,0.19036,1.39366,1.80376,1.21811,0.000684559,0.000684559,0.000684559
11,16192.7,1.40282,1.75137,1.20689,0.47666,0.31902,0.29054,0.18685,1.41376,1.80648,1.21899,0.000668066,0.000668066,0.000668066
12,17548.9,1.38707,1.75109,1.20956,0.4594,0.34822,0.30457,0.19802,1.3976,1.785,1.21376,0.000651573,0.000651573,0.000651573
13,18899.7,1.37769,1.72514,1.19596,0.47635,0.34537,0.33527,0.22647,1.36571,1.78222,1.20774,0.000635079,0.000635079,0.000635079
14,20228,1.35094,1.68866,1.18934,0.49774,0.33609,0.30658,0.2031,1.38997,1.76761,1.20069,0.000618586,0.000618586,0.000618586
15,21568.1,1.34986,1.69009,1.18631,0.46737,0.34189,0.31262,0.20876,1.35168,1.7639,1.20012,0.000602092,0.000602092,0.000602092
16,22971.9,1.34438,1.68349,1.18415,0.46892,0.33364,0.30217,0.2021,1.3556,1.74,1.18667,0.000585599,0.000585599,0.000585599
17,24336.2,1.33981,1.6555,1.177,0.49515,0.33526,0.32308,0.22199,1.33487,1.74085,1.19965,0.000569106,0.000569106,0.000569106
18,25684.4,1.32144,1.64759,1.16799,0.46955,0.35629,0.31921,0.21526,1.34721,1.73962,1.19324,0.000552612,0.000552612,0.000552612
19,27002.5,1.31188,1.635,1.16897,0.50248,0.35088,0.3292,0.22145,1.32512,1.71888,1.18517,0.000536119,0.000536119,0.000536119
20,28344.9,1.30556,1.6181,1.17057,0.50217,0.34749,0.32046,0.21458,1.33894,1.72298,1.1983,0.000519625,0.000519625,0.000519625
21,29689.4,1.30246,1.60857,1.16078,0.47795,0.33954,0.30736,0.20365,1.33965,1.73759,1.18158,0.000503132,0.000503132,0.000503132
22,31039,1.29254,1.58468,1.1615,0.48289,0.35488,0.32068,0.21566,1.33401,1.71199,1.18449,0.000486639,0.000486639,0.000486639
23,32382.8,1.29164,1.57626,1.15675,0.50979,0.34132,0.32891,0.22616,1.31677,1.70706,1.18675,0.000470145,0.000470145,0.000470145
24,33729.8,1.2719,1.56993,1.15099,0.50008,0.35671,0.33005,0.22472,1.3168,1.72684,1.18373,0.000453652,0.000453652,0.000453652
25,35055.5,1.2638,1.5556,1.14962,0.4998,0.35612,0.32225,0.21761,1.31256,1.68851,1.17178,0.000437158,0.000437158,0.000437158
26,36408.6,1.25696,1.54325,1.14538,0.51172,0.34771,0.33394,0.22775,1.3081,1.69636,1.17693,0.000420665,0.000420665,0.000420665
27,37759.2,1.25325,1.523,1.14064,0.49938,0.35035,0.32951,0.22596,1.29514,1.70321,1.17411,0.000404172,0.000404172,0.000404172
28,39103.9,1.24216,1.52335,1.14192,0.50911,0.34242,0.32673,0.22357,1.28211,1.70458,1.16758,0.000387678,0.000387678,0.000387678
29,40434.9,1.23619,1.5084,1.13307,0.51114,0.3698,0.35634,0.24495,1.31032,1.66687,1.17585,0.000371185,0.000371185,0.000371185
30,41758,1.2332,1.50995,1.1374,0.51614,0.35598,0.34068,0.2332,1.29402,1.67933,1.17126,0.000354691,0.000354691,0.000354691
31,43101.2,1.23815,1.49424,1.13261,0.50142,0.36797,0.33566,0.23279,1.28584,1.69131,1.17042,0.000338198,0.000338198,0.000338198
32,44455,1.22297,1.47469,1.12624,0.49867,0.36417,0.34434,0.23924,1.27591,1.70436,1.1663,0.000321705,0.000321705,0.000321705
33,45784.6,1.21261,1.45375,1.12148,0.50043,0.36409,0.34994,0.24198,1.27665,1.67886,1.16725,0.000305211,0.000305211,0.000305211
34,47110.7,1.20857,1.44735,1.11723,0.50501,0.37647,0.34779,0.23923,1.28451,1.66836,1.16393,0.000288718,0.000288718,0.000288718
35,48663,1.22084,1.4602,1.12996,0.51287,0.36276,0.34418,0.23867,1.2886,1.67199,1.16774,0.000272224,0.000272224,0.000272224
36,50060,1.20523,1.4339,1.11924,0.50489,0.35971,0.34999,0.2403,1.29821,1.67719,1.16705,0.000255731,0.000255731,0.000255731
37,51433.4,1.20378,1.43887,1.11871,0.52099,0.34887,0.35107,0.24318,1.28198,1.69332,1.16297,0.000239238,0.000239238,0.000239238
38,53016.8,1.18532,1.41578,1.1093,0.39921,0.34145,0.34198,0.23461,1.28495,1.68355,1.16912,0.000222744,0.000222744,0.000222744
39,54604.8,1.19018,1.41327,1.11276,0.52165,0.36632,0.35362,0.24384,1.2877,1.66784,1.16949,0.000206251,0.000206251,0.000206251
40,56242.2,1.17123,1.38239,1.10317,0.34416,0.38132,0.34021,0.23802,1.28157,1.68872,1.16949,0.000189757,0.000189757,0.000189757
41,57805.3,1.17829,1.41593,1.11528,0.50582,0.36721,0.35059,0.24338,1.26881,1.67167,1.16355,0.000173264,0.000173264,0.000173264
42,59286.3,1.15857,1.35929,1.10664,0.52343,0.35896,0.34915,0.24036,1.28557,1.68084,1.16334,0.000156771,0.000156771,0.000156771
43,60696.1,1.15311,1.3505,1.10263,0.50929,0.37587,0.35344,0.24461,1.28894,1.67259,1.16934,0.000140277,0.000140277,0.000140277
44,61947.1,1.13375,1.32309,1.09298,0.40072,0.41595,0.35933,0.25114,1.28569,1.6901,1.16925,0.000123784,0.000123784,0.000123784
45,63995.5,1.1284,1.30648,1.08733,0.40272,0.40808,0.35475,0.24689,1.2808,1.68943,1.16081,0.00010729,0.00010729,0.00010729
46,65592.9,1.11757,1.2936,1.08713,0.38996,0.36547,0.35262,0.24418,1.27949,1.6779,1.16362,9.0797e-05,9.0797e-05,9.0797e-05
47,67341.2,1.10837,1.27673,1.08117,0.38312,0.39825,0.35395,0.24553,1.28395,1.68757,1.16527,7.43036e-05,7.43036e-05,7.43036e-05
48,68728.6,1.10685,1.26753,1.08096,0.39213,0.42332,0.35598,0.24705,1.2774,1.68278,1.16337,5.78102e-05,5.78102e-05,5.78102e-05
49,70006.1,1.11286,1.2655,1.08315,0.40416,0.39071,0.35561,0.24696,1.27527,1.69306,1.16296,4.13168e-05,4.13168e-05,4.13168e-05
50,71367.8,1.09513,1.25207,1.07346,0.42121,0.39833,0.36222,0.25227,1.27524,1.68482,1.16171,2.48234e-05,2.48234e-05,2.48234e-05
